GeneSymbol,Daily1,Daily2,Daily3,Daily4,Daily5,Weekly1,Weekly2,Weekly3,Weekly4,Weekly5,Vehicle1,Vehicle2,Vehicle3,Vehicle4,Vehicle5
Ttc4,20.21956229,25.67576857,13.32085716,21.34671396,22.86243507,24.29442386,23.34302521,27.27970506,27.69019206,28.89326043,24.83260511,23.06072204,21.75161646,23.67063659,23.05848151
Pip4k2c,18.28070015,15.75867277,10.2229834,19.25389886,15.93442444,17.75361743,16.64773891,17.91803506,28.76903071,19.09018993,16.06815625,18.49540143,14.99716714,18.58255582,16.27657518
Katnal2,24.37426687,24.45311292,21.22043525,23.02096603,26.88068123,10.41189594,25.24303889,13.48885785,14.38451536,13.93067913,21.18075142,23.76307906,25.07160002,23.56002614,21.58906847
Hdhd2,28.52897145,32.06074805,19.51660468,23.43952905,23.41667592,30.3012869,31.3049873,31.80954538,23.37483745,38.43835539,25.92816122,27.04074514,25.52952879,25.10857245,24.301831
Agap2,6.509037175,5.162323839,4.801704326,4.604193206,5.265288076,4.004575361,3.076212625,3.825198495,9.349934982,5.28849856,2.678026042,3.628844585,2.518608222,4.203197151,2.825794303
Pias2,51.79531709,54.20440031,32.99235553,51.06468829,44.61638843,49.52324863,56.63850304,53.45211581,16.18257978,52.75599783,51.9780509,48.46263414,47.05218087,51.76569123,48.37759846
St8sia5,11.77166298,14.4001665,7.280003333,10.67335698,10.94625679,13.21509869,18.54775259,12.58288979,9.709547866,12.25383813,11.80766027,10.76947425,8.4716822,11.39287649,11.30317721
Atp5a1,1036.460302,1128.647012,668.0564761,1052.267429,870.5738153,1776.296144,1128.517649,1388.547054,2076.404792,1340.569891,941.4478821,968.4332663,989.3551024,950.143777,994.0014039
Pstpip2,19.80409183,15.21527026,11.6170266,17.99820981,20.22979103,21.22424941,24.51922416,18.92466624,14.38451536,17.9293,18.25926847,17.91010392,22.5529918,18.58255582,19.55449657
Avil,4.15470458,5.298174466,2.323405319,3.976348678,4.988167651,7.20823565,5.157179989,4.328514087,6.473031911,5.5464741,7.790621212,6.672391657,5.495145211,6.415406178,5.199461517
Xrcc6bp1,1.661881832,2.03775941,1.239149504,1.464970566,1.247041913,1.868801835,1.990490522,1.107294301,3.236515955,1.676841007,1.217284564,1.990011547,1.259304111,1.106104513,2.260635442
Usp33,45.00929961,48.36282333,26.79660801,40.1820498,37.54981759,44.7177582,47.04795779,51.43885345,48.18812645,57.01259424,40.17039062,41.20494497,38.58049867,37.2757221,40.57840618
Clns1a,9.001859923,7.879336386,5.111491702,7.115571319,7.343691263,7.341721495,8.776253665,11.27426925,11.86722517,11.86687482,7.060250473,8.779462706,7.555824665,7.521510691,9.720732401
Gm9752,0.969431069,0.950954391,0.77446844,1.046407547,1.524162338,1.601830144,0.723814735,0.805304946,0.359612884,1.805828777,0.730370739,1.053535525,0.686893151,1.216714965,1.582444809
Paip1,40.43912458,34.09850746,23.23405319,43.11199093,33.67013164,36.04117825,41.34791675,33.31949215,27.33057918,35.60062446,41.02248982,37.57610038,41.44255347,32.63008314,38.8829296
Nnt,67.02923389,75.5329488,43.83491369,59.01738564,61.52073436,118.8024024,68.12906196,86.9729342,87.38593079,91.45232876,86.0620187,89.90169811,86.89198365,83.06844895,94.04243439
Paox,2.769803053,1.901908783,2.788086383,3.767067169,2.77120425,2.402745217,2.533351573,4.026524732,7.551870562,7.094327337,4.382224432,2.57530906,3.319983565,4.203197151,4.8603662
Echs1,45.00929961,40.07593507,26.9515017,41.22845735,34.22437249,87.83368625,50.12417042,71.57147711,81.63212465,104.6090813,40.29211908,40.38552845,42.70185758,41.70014015,41.03053327
Fuom,11.77166298,10.59634893,6.04085383,10.25479396,9.283534239,13.74904207,10.49531366,10.36830118,13.66528959,13.02776475,5.599508996,7.374748673,7.784789049,7.853342045,10.39892303
Zfp511,5.124135648,4.347220075,2.633192695,4.185630187,4.156806376,3.604117825,3.619073676,4.529840323,5.394193259,2.966718705,2.921482954,4.68238011,6.296520554,3.428923991,3.503984935
Adam8,16.48032817,19.83419159,12.39149504,25.11378112,28.8205242,9.344009175,13.75247997,20.9379286,85.22825349,19.47715323,8.155806581,8.779462706,10.07443289,8.738225656,7.234033414
Tubgcp2,18.14221,18.47568532,13.32085716,16.32395773,18.01282763,18.95499004,19.0001368,20.83726549,21.57677304,20.50905539,21.05902296,19.66599646,18.88956166,19.68866034,20.11965543
Inpp5a,56.50398228,55.97045847,35.62554823,64.6679864,56.53256671,69.01218205,57.81470198,56.6733356,42.07470742,58.94741078,54.89953385,57.47621585,58.72936444,55.30522567,53.23796466
Cyp2e1,12.04864328,7.743485759,4.956598014,7.115571319,9.560654664,8.409608258,23.43350205,35.13142828,5.394193259,38.18037985,42.72668821,46.58968209,42.58737538,39.48793113,44.9866453
Bet1l,8.586389465,8.151037641,5.421279078,4.394911697,7.066570838,8.009150722,10.40483682,9.965648711,14.38451536,12.12485036,6.938522017,7.725927181,7.212378089,7.41090024,7.00796987
Ric8,19.94258198,20.51344473,13.16596348,23.02096603,18.70562869,18.55453251,21.08110416,21.64257043,45.67083626,25.41059064,21.91112216,21.18777,22.89643838,20.79476485,22.60635442
Sirt3,10.10978114,9.237842659,5.731066454,7.534134337,8.036492326,16.28527313,9.861975768,9.160343765,8.27109633,13.54371583,6.938522017,9.247700717,9.04409316,9.180667461,10.28589126
Psmd13,35.59196923,35.04946185,17.9676678,43.94911697,27.57348229,37.24255086,36.00978308,38.75530054,82.7109633,38.69633093,31.64939867,35.23491033,29.07847674,32.85130405,37.75261188
Cox8b,87.80275678,88.98216091,49.87576752,94.17667922,66.50890201,140.1601376,109.4769787,103.1796962,65.80915776,137.8879259,101.6432611,114.4841937,111.1622083,110.6104513,115.066344
Ifitm3,12.60260389,22.14365226,8.519152837,11.71976452,12.74753955,14.01601376,17.00964628,20.23328678,20.1383215,19.86411654,16.43334162,19.08069895,19.69093701,15.37485274,17.18082936
Sigirr,2.6313129,1.494356901,1.394043191,1.674252075,2.078403188,2.00228768,2.261921048,3.52320914,2.517290187,2.708743165,2.678026042,1.990011547,1.83171507,3.871365797,1.582444809
Ptdss2,9.832800839,10.18879705,5.576172766,10.88263849,9.976335301,15.21738637,10.40483682,12.88487914,15.82296689,14.70460575,9.616548059,9.715938728,10.30339727,12.498981,11.30317721
Irf7,7.062997786,11.54730332,2.942980071,7.115571319,5.126727863,3.871089515,2.35239789,4.73116656,15.46335401,6.965339567,5.721237453,6.438272651,4.80825206,6.857847983,4.747334428
Hras,37.94630183,32.06074805,19.36171099,32.22935244,29.51332527,27.76505584,37.72884308,38.25198495,47.46890068,32.24694244,32.25804096,36.87374337,36.51981921,37.60755345,36.17016707
Taldo1,34.48404801,33.14755307,20.29107312,36.83354565,32.83877037,65.00760669,43.97174517,82.34243076,84.14941484,116.6049439,34.44915317,36.52256486,34.11569318,36.05900714,37.30048479
Eps8l2,3.877724274,2.173610038,1.394043191,3.557785659,1.66272255,2.00228768,2.804782099,2.013262366,3.955741723,1.805828777,2.434569129,2.107071049,1.946197262,1.65915677,1.017285949
