Gene symbol,untreated,untreated,untreated,prednisolone-treated,prednisolone-treated,prednisolone-treated
Gm15702,4.704847,4.641006,4.449795,4.881013,4.791492,4.802227
Gm25294,5.023777,4.64643,4.520346,4.905427,4.129651,4.332708
Gm9884,4.004247,4.62974,4.315912,4.151675,4.755944,4.26319
Gm24064,3.822758,3.672156,4.080843,3.817388,3.346799,3.07524
Gm5524,3.884385,4.772582,4.344947,4.032179,4.118482,3.998489
Gm6462,5.466684,5.759956,5.526531,5.746204,5.600407,6.022811
Gm22679,6.785492,6.200201,6.510616,6.308371,5.935833,6.209942
Mir6342,3.713252,3.922286,3.866883,3.895591,4.094419,3.855722
Gm23771,8.595845,8.521699,8.730895,8.543126,8.551022,8.489223
Lgsn,4.716774,4.981423,4.944819,5.12955,4.972336,5.061263
Pih1d3,4.733763,4.39171,4.89316,4.791589,5.106439,4.332703
Gm4850,4.093407,4.339374,3.857956,3.615646,3.750209,4.27632
Gm6489,5.517696,5.844111,5.723943,5.975448,5.568971,5.849751
Gm10307,7.119746,7.005855,7.416663,7.199718,6.946719,6.879979
Gm7910,4.498905,4.529251,4.48368,4.881166,4.991703,4.527184
Khdrbs2,4.478359,4.523926,4.527067,4.477252,4.275879,4.372878
Gm23024,4.3049,4.584856,4.119513,4.361699,3.748867,3.660057
Gm24901,5.345457,4.588426,4.869506,4.294583,4.704562,4.560663
Gm25792,5.933467,5.923206,6.008299,5.185093,5.489062,5.845935
Gm23453,7.310221,7.494626,7.562019,6.575508,7.246784,7.279019
1700001G17Rik,4.588615,4.665156,4.530754,5.097675,4.859139,4.860681
Rab23,6.700772,7.115352,7.296775,6.907906,6.846363,6.889552
Dst,12.07731,11.56411,12.13213,12.03224,12.14189,12.02489
Mir6896,5.493583,5.549271,5.963758,5.738155,5.412646,5.709362
D630036G22Rik,7.817276,7.535023,8.140979,7.374637,7.76791,7.645665
Imp4,9.297029,9.757233,9.61425,9.40729,9.102055,9.277471
D1Ertd448e,6.55987,7.468609,7.527458,7.184573,6.913134,6.818917
Ptpn18,5.685824,5.740445,5.683914,5.490806,5.543429,5.695459
Prss39,4.900614,5.074307,4.699613,4.548665,4.75922,4.719496
Cfc1,4.631719,4.605711,4.681881,4.756851,4.634535,4.630838
Amer3,3.754276,3.999093,3.626815,3.42832,4.031199,3.831361
Arhgef4,4.843318,4.733643,4.830437,4.755489,4.876556,4.810408
Plekhb2,9.5061,9.62853,9.649786,9.772096,9.648231,9.581429
Gm25634,4.726272,5.005939,4.62943,4.095479,4.641825,4.832883
1110002O04Rik,4.06567,3.874608,3.950794,4.017977,3.969558,3.990805
Hs6st1,8.268372,7.956585,8.26729,8.174496,8.346613,8.093192
Arid5a,5.782068,6.168184,6.65923,5.563801,5.556505,5.545838
Fer1l5,4.596432,4.592626,4.573752,4.49241,4.4899,4.497205
Cnnm4,6.909806,7.064666,6.83861,7.090199,7.205027,7.296037
Cnnm3,6.668523,6.774612,6.665614,7.180789,7.169417,7.007365
D430040D24Rik,4.84536,4.754351,4.715777,4.832168,4.887067,5.097006
Gm6428,14.86114,14.98135,15.11807,15.58224,15.58048,15.4229
Gm24133,3.03463,3.144947,3.045799,2.680703,2.529673,2.665216
Cox5b,13.73012,13.48099,13.59944,14.10278,14.23494,13.89472
4933424G06Rik,4.449307,4.693096,4.647963,4.739384,4.721362,4.600926
Zap70,4.641314,4.407814,4.437172,4.515771,4.572016,4.565766
n-R5s210,11.41475,11.67073,12.29738,12.78611,12.55465,11.7458
Vwa3b,4.806562,4.716752,4.667095,4.638494,4.918043,4.645241
Cnga3,5.254169,5.259731,5.017286,5.048783,5.099687,5.205141
Inpp4a,8.782665,8.688663,8.722446,8.506576,8.673644,8.656242
Unc50,8.59248,8.582581,8.509967,8.110033,8.048043,8.376958
4930556I23Rik,4.990578,4.706221,4.616265,4.863038,4.727248,4.837364
Gm26805,4.112602,4.2974,3.79119,3.994231,4.079859,4.001033
Lipt1,5.945274,6.261394,5.977551,6.210687,5.888234,6.100527
Mrpl30,8.043574,7.546259,7.752539,7.951903,8.086133,8.116426
Gm15457,4.511158,4.50142,4.489717,4.64764,4.512566,4.487413
Gm23409,4.414721,4.174747,3.929801,4.035972,3.830056,4.164572
Eif5b,11.07495,10.95523,11.13297,10.99078,10.83876,10.93554
Gm16150,4.740131,4.847964,4.572272,4.400062,4.864072,4.747745
Gm16151,3.276685,3.354771,3.241148,3.442758,3.743829,3.402921
Gm16152,3.919843,4.145775,4.133408,3.996089,3.84481,3.730645
Nms,4.322585,4.270781,4.241182,4.342698,4.339664,4.388669
Pdcl3,10.15374,10.24435,9.804504,9.90812,10.09012,10.08859
Npas2,8.219708,8.124368,8.076801,9.654922,9.480659,9.117057
Gm3617,14.33441,14.07602,14.24312,14.49117,14.89905,14.5483
Gm24826,8.756989,8.932153,9.011721,8.578112,8.77502,8.617975
Cnot11,8.749021,8.671124,8.604216,8.83108,8.804343,8.778703
D930019O06Rik,4.280859,3.837994,4.104414,4.603608,4.167815,4.639984
Map4k4,10.22289,10.31972,10.34186,9.933033,9.651768,9.94638
Il1r2,7.086341,9.298933,8.586475,7.49463,6.90154,7.618431
Il1r1,10.91216,12.28491,13.08242,10.2846,10.21037,10.45353
Il1rl2,9.670475,9.298459,9.628004,9.342437,9.229005,9.394862
Il1rl1,6.632681,6.547501,7.804064,6.652653,6.338795,6.403328
Il18r1,5.60696,5.627343,5.582037,5.42042,5.228254,5.236407
Il18rap,5.908117,6.717825,6.41494,5.415895,5.647983,5.848118
Slc9a4,5.811562,5.73604,5.844913,5.842848,5.940055,5.864638
Slc9a2,9.038648,8.304257,8.22954,9.045984,9.290058,8.875128
Tmem182,16.66175,16.07282,16.03942,16.88046,16.98296,16.91626
Gm9915,3.750115,4.026655,3.795847,3.997548,3.989454,4.030222
Pou3f3,4.778249,4.99644,4.82923,4.672378,4.834277,4.77499
Mrps9,8.537528,8.421349,8.449421,8.518562,8.534758,8.579802
Gpr45,4.784864,4.73555,4.476896,4.658138,4.749321,4.508508
Gm24001,4.611853,4.978983,5.64219,5.075772,5.24429,4.595459
8430432A02Rik,4.183582,4.041527,3.988277,4.148627,4.074949,3.538968
AI597479,8.616365,8.582749,8.336082,8.52598,8.384337,8.409968
Gm8210,16.59695,16.7075,16.61052,16.55102,16.60438,16.72564
Nck2,7.348372,7.238904,7.462443,7.359506,7.544633,7.255382
1500015O10Rik,7.456209,7.113544,6.962779,6.867649,6.895007,7.16028
Gm16103,7.928874,8.483048,7.935563,8.56981,8.681611,8.405375
Gm26352,5.968586,6.340255,5.519853,5.680048,6.055782,5.663725
Tpp2,11.80367,11.81417,11.96877,11.62417,11.70736,11.69792
Bivm,8.105947,7.949247,7.717364,7.98626,7.981531,7.932621
Ercc5,8.952581,8.078524,8.161653,8.046008,7.966925,7.946489
Gm15833,7.306343,7.320533,7.543612,6.871576,7.295471,7.036629
Gulp1,8.689943,8.083562,8.333672,8.80915,8.671849,8.592685
Gm16102,6.10297,5.60644,5.746482,6.227823,6.312075,6.154847
Col3a1,16.78137,16.61074,16.59551,15.96363,15.95282,16.08755
Gm23974,8.276544,8.111752,9.212821,7.958812,8.071566,8.028971
Gm23984,4.550891,4.458267,4.501105,4.181028,4.70146,4.305073
Wdr75,9.132703,9.479734,9.534973,8.963245,8.904685,9.139473
Rpl23a-ps1,8.446199,8.605298,8.387759,8.377309,8.567269,8.838891
Dnah7b,5.881927,5.578644,5.543211,5.784269,5.803401,5.728643
n-R5s211,11.54394,11.46264,11.97226,12.49931,12.62516,11.96627
Dnah7c,5.349288,5.010858,4.980674,5.172323,5.243062,5.086323
Gm8357,4.492874,4.725791,4.521948,5.583961,5.616176,5.134555
Gm22693,4.598621,4.777503,4.757227,4.538728,4.541185,4.633491
